Time,Dilution,OD600
2,1:1,0.653
2,1:1,0.654
2,1:1,0.652
2,1:1,0.651
2,1:1,0.654
2,1:6,0.129
2,1:6,0.128
2,1:6,0.128
2,1:6,0.128
2,1:6,0.129
2,1:7,0.111
2,1:7,0.113
2,1:7,0.113
2,1:7,0.113
2,1:7,0.114
2,1:8,0.102
2,1:8,0.103
2,1:8,0.102
2,1:8,0.103
2,1:8,0.104
2,1:9,0.093
2,1:9,0.093
2,1:9,0.091
2,1:9,0.09
2,1:9,0.092
2,1:10,0.08
2,1:10,0.081
2,1:10,0.084
2,1:10,0.081
2,1:10,0.083
