Time,Dilution,OD600
1,1:1,0.065
1,1:1,0.06
1,1:1,0.066
1,1:1,0.06
1,1:1,0.066
1,1:6,0.014
1,1:6,0.01
1,1:6,0.011
1,1:6,0.012
1,1:6,0.014
1,1:7,0.022
1,1:7,0.019
1,1:7,0.017
1,1:7,0.016
1,1:7,0.012
1,1:8,0
1,1:8,0
1,1:8,-0.002
1,1:8,-0.001
1,1:8,-0.001
1,1:9,0.003
1,1:9,0.004
1,1:9,0
1,1:9,0.001
1,1:9,0.003
1,1:10,-0.004
1,1:10,-0.005
1,1:10,-0.004
1,1:10,-0.006
1,1:10,-0.004
