Time,Dilution,OD600
5,1,0.73
5,1,0.727
5,1,0.721
5,1,0.718
5,1,0.719
5,0.16666,0.13
5,0.16666,0.136
5,0.16666,0.134
5,0.16666,0.135
5,0.16666,0.133
5,0.142857,0.114
5,0.142857,0.116
5,0.142857,0.119
5,0.142857,0.116
5,0.142857,0.118
5,0.125,0.099
5,0.125,0.103
5,0.125,0.105
5,0.125,0.104
5,0.125,0.104
5,0.1111,0.09
5,0.1111,0.096
5,0.1111,0.096
5,0.1111,0.094
5,0.1111,0.094
5,0.1,0.086
5,0.1,0.087
5,0.1,0.088
5,0.1,0.089
5,0.1,0.088
