Time,Dilution,OD600
6,1,0.704
6,1,0.716
6,1,0.718
6,1,0.705
6,1,0.715
6,0.16666,0.124
6,0.16666,0.13
6,0.16666,0.131
6,0.16666,0.128
6,0.16666,0.131
6,0.142857,0.116
6,0.142857,0.114
6,0.142857,0.116
6,0.142857,0.114
6,0.142857,0.117
6,0.125,0.105
6,0.125,0.106
6,0.125,0.106
6,0.125,0.106
6,0.125,0.104
6,0.1111,0.093
6,0.1111,0.094
6,0.1111,0.092
6,0.1111,0.094
6,0.1111,0.097
6,0.1,0.086
6,0.1,0.087
6,0.1,0.086
6,0.1,0.085
6,0.1,0.086
