Time,Dilution,OD600
5,1:1,0.73
5,1:1,0.727
5,1:1,0.721
5,1:1,0.718
5,1:1,0.719
5,1:6,0.13
5,1:6,0.136
5,1:6,0.134
5,1:6,0.135
5,1:6,0.133
5,1:7,0.114
5,1:7,0.116
5,1:7,0.119
5,1:7,0.116
5,1:7,0.118
5,1:8,0.099
5,1:8,0.103
5,1:8,0.105
5,1:8,0.104
5,1:8,0.104
5,1:9,0.09
5,1:9,0.096
5,1:9,0.096
5,1:9,0.094
5,1:9,0.094
5,1:10,0.086
5,1:10,0.087
5,1:10,0.088
5,1:10,0.089
5,1:10,0.088
